drug_1,drug_2,drug_1_concentration,drug_2_concentration,cell_line,response
Amifostine,Chlorambucil,1e-4,1e-6,A549/ATCC,106.399
Hydroxyurea,Chlorambucil,1e-4,1e-6,A549/ATCC,91.976
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,A549/ATCC,92.13
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,A549/ATCC,95.1
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,A549/ATCC,102.306
Ifosfamide,Chlorambucil,1e-5,1e-4,A549/ATCC,32.964
Amifostine,Ifosfamide,1e-5,1e-4,A549/ATCC,99.26
Amifostine,Chlorambucil,1e-5,1e-4,A549/ATCC,38.771
Hydroxyurea,Chlorambucil,1e-5,1e-4,A549/ATCC,34.905
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,A549/ATCC,95.61
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,A549/ATCC,101.37
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,A549/ATCC,40.423
Ifosfamide,Chlorambucil,1e-5,1e-5,A549/ATCC,100.558
Amifostine,Ifosfamide,1e-5,1e-5,A549/ATCC,101.69
Amifostine,Chlorambucil,1e-5,1e-5,A549/ATCC,96.677
Hydroxyurea,Chlorambucil,1e-5,1e-5,A549/ATCC,92.616
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,A549/ATCC,94.85
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,A549/ATCC,99.54
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,A549/ATCC,97.679
Ifosfamide,Chlorambucil,1e-5,1e-6,A549/ATCC,109.104
Amifostine,Ifosfamide,1e-5,1e-6,A549/ATCC,102.01
Amifostine,Chlorambucil,1e-5,1e-6,A549/ATCC,107.694
Hydroxyurea,Chlorambucil,1e-5,1e-6,A549/ATCC,103.59
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,A549/ATCC,100.91
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,A549/ATCC,103.69
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,A549/ATCC,110.297
Ifosfamide,Chlorambucil,1e-6,1e-4,A549/ATCC,35.781
Amifostine,Ifosfamide,1e-6,1e-4,A549/ATCC,97.01
Amifostine,Chlorambucil,1e-6,1e-4,A549/ATCC,36.345
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,A549/ATCC,91.54
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,A549/ATCC,100.39
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,A549/ATCC,40.411
Ifosfamide,Chlorambucil,1e-6,1e-5,A549/ATCC,101.399
Amifostine,Ifosfamide,1e-6,1e-5,A549/ATCC,96.13
Amifostine,Chlorambucil,1e-6,1e-5,A549/ATCC,89.395
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,A549/ATCC,97.17
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,A549/ATCC,101.34
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,A549/ATCC,104.499
Ifosfamide,Chlorambucil,1e-6,1e-6,A549/ATCC,106.965
Amifostine,Ifosfamide,1e-6,1e-6,A549/ATCC,98.65
Amifostine,Chlorambucil,1e-6,1e-6,A549/ATCC,113.239
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,A549/ATCC,103.12
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,A549/ATCC,106.24
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,A549/ATCC,111.095
Hydroxyurea,Chlorambucil,3e-5,1e-4,A549/ATCC,34.157
Hydroxyurea,Chlorambucil,3e-5,1e-5,A549/ATCC,86.882
Hydroxyurea,Chlorambucil,3e-5,1e-6,A549/ATCC,105.971
Ifosfamide,Chlorambucil,1e-4,1e-4,ACHN,18.725
Amifostine,Ifosfamide,1e-4,1e-4,ACHN,32.54
Amifostine,Chlorambucil,1e-4,1e-4,ACHN,5.033
Hydroxyurea,Chlorambucil,1e-4,1e-4,ACHN,-32.264
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,ACHN,68.69
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,ACHN,76.48
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,ACHN,10.172
Ifosfamide,Chlorambucil,1e-4,1e-5,ACHN,96.423
Amifostine,Ifosfamide,1e-4,1e-5,ACHN,93.57
Amifostine,Chlorambucil,1e-4,1e-5,ACHN,98.098
Hydroxyurea,Chlorambucil,1e-4,1e-5,ACHN,46.929
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,ACHN,67.07
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,ACHN,80.44
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,ACHN,100.28
Ifosfamide,Chlorambucil,1e-4,1e-6,ACHN,91.537
Amifostine,Ifosfamide,1e-4,1e-6,ACHN,90.72
Amifostine,Chlorambucil,1e-4,1e-6,ACHN,92.285
Hydroxyurea,Chlorambucil,1e-4,1e-6,ACHN,53.284
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,ACHN,77.44
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,ACHN,85.65
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,ACHN,113.517
Ifosfamide,Chlorambucil,1e-5,1e-4,ACHN,10.638
Amifostine,Ifosfamide,1e-5,1e-4,ACHN,90.53
Amifostine,Chlorambucil,1e-5,1e-4,ACHN,2.436
Hydroxyurea,Chlorambucil,1e-5,1e-4,ACHN,-13.478
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,ACHN,78.02
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,ACHN,74.96
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,ACHN,1.834
Ifosfamide,Chlorambucil,1e-5,1e-5,ACHN,80.735
Amifostine,Ifosfamide,1e-5,1e-5,ACHN,93.32
Amifostine,Chlorambucil,1e-5,1e-5,ACHN,85.087
Hydroxyurea,Chlorambucil,1e-5,1e-5,ACHN,83.736
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,ACHN,86.68
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,ACHN,82.55
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,ACHN,93.646
Ifosfamide,Chlorambucil,1e-5,1e-6,ACHN,90.99
Amifostine,Ifosfamide,1e-5,1e-6,ACHN,92.65
Amifostine,Chlorambucil,1e-5,1e-6,ACHN,98.392
Hydroxyurea,Chlorambucil,1e-5,1e-6,ACHN,101.514
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,ACHN,105.24
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,ACHN,99.03
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,ACHN,102.318
Ifosfamide,Chlorambucil,1e-6,1e-4,ACHN,14.354
Amifostine,Ifosfamide,1e-6,1e-4,ACHN,91.78
Amifostine,Chlorambucil,1e-6,1e-4,ACHN,1.488
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,ACHN,77.32
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,ACHN,75.47
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,ACHN,4.276
Ifosfamide,Chlorambucil,1e-6,1e-5,ACHN,96.947
Amifostine,Ifosfamide,1e-6,1e-5,ACHN,92.41
Amifostine,Chlorambucil,1e-6,1e-5,ACHN,94.727
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,ACHN,95.17
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,ACHN,92.99
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,ACHN,110.049
Ifosfamide,Chlorambucil,1e-6,1e-6,ACHN,100.649
Amifostine,Ifosfamide,1e-6,1e-6,ACHN,94.29
Amifostine,Chlorambucil,1e-6,1e-6,ACHN,98.663
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,ACHN,113.02
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,ACHN,107.11
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,ACHN,111.62
Hydroxyurea,Chlorambucil,3e-5,1e-4,ACHN,-26.435
Hydroxyurea,Chlorambucil,3e-5,1e-5,ACHN,79.001
Hydroxyurea,Chlorambucil,3e-5,1e-6,ACHN,104.669
Ifosfamide,Chlorambucil,1e-4,1e-4,CCRF-CEM,-70.085
Amifostine,Ifosfamide,1e-4,1e-4,CCRF-CEM,80.86
Amifostine,Chlorambucil,1e-4,1e-4,CCRF-CEM,-77.915
Hydroxyurea,Chlorambucil,1e-4,1e-4,CCRF-CEM,-84.158
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,CCRF-CEM,75.04
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,CCRF-CEM,81.39
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,CCRF-CEM,-69.741
Ifosfamide,Chlorambucil,1e-4,1e-5,CCRF-CEM,85.081
Amifostine,Ifosfamide,1e-4,1e-5,CCRF-CEM,96.5
Amifostine,Chlorambucil,1e-4,1e-5,CCRF-CEM,56.246
Hydroxyurea,Chlorambucil,1e-4,1e-5,CCRF-CEM,9.991
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,CCRF-CEM,80.96
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,CCRF-CEM,72.96
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,CCRF-CEM,71.333
Ifosfamide,Chlorambucil,1e-4,1e-6,CCRF-CEM,104.972
Amifostine,Ifosfamide,1e-4,1e-6,CCRF-CEM,95.15
Amifostine,Chlorambucil,1e-4,1e-6,CCRF-CEM,100.302
Hydroxyurea,Chlorambucil,1e-4,1e-6,CCRF-CEM,50.026
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,CCRF-CEM,66.17
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,CCRF-CEM,53.76
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,CCRF-CEM,117.166
Ifosfamide,Chlorambucil,1e-5,1e-4,CCRF-CEM,-70.482
Amifostine,Ifosfamide,1e-5,1e-4,CCRF-CEM,92.84
Amifostine,Chlorambucil,1e-5,1e-4,CCRF-CEM,-72.473
Hydroxyurea,Chlorambucil,1e-5,1e-4,CCRF-CEM,-81.523
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,CCRF-CEM,95.69
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,CCRF-CEM,95.41
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,CCRF-CEM,-64.314
Ifosfamide,Chlorambucil,1e-5,1e-5,CCRF-CEM,81.97
Amifostine,Ifosfamide,1e-5,1e-5,CCRF-CEM,95.04
Amifostine,Chlorambucil,1e-5,1e-5,CCRF-CEM,56.312
Hydroxyurea,Chlorambucil,1e-5,1e-5,CCRF-CEM,48.089
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,CCRF-CEM,104.61
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,CCRF-CEM,105.02
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,CCRF-CEM,72.677
Ifosfamide,Chlorambucil,1e-5,1e-6,CCRF-CEM,113.605
Amifostine,Ifosfamide,1e-5,1e-6,CCRF-CEM,97.96
Amifostine,Chlorambucil,1e-5,1e-6,CCRF-CEM,90.165
Hydroxyurea,Chlorambucil,1e-5,1e-6,CCRF-CEM,92.928
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,CCRF-CEM,102.55
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,CCRF-CEM,97.98
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,CCRF-CEM,107.379
Ifosfamide,Chlorambucil,1e-6,1e-4,CCRF-CEM,-70.382
Amifostine,Ifosfamide,1e-6,1e-4,CCRF-CEM,98.97
Amifostine,Chlorambucil,1e-6,1e-4,CCRF-CEM,-70.034
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,CCRF-CEM,105.25
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,CCRF-CEM,95.12
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,CCRF-CEM,-63.944
Ifosfamide,Chlorambucil,1e-6,1e-5,CCRF-CEM,80.953
Amifostine,Ifosfamide,1e-6,1e-5,CCRF-CEM,99.49
Amifostine,Chlorambucil,1e-6,1e-5,CCRF-CEM,57.266
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,CCRF-CEM,95.25
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,CCRF-CEM,100.31
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,CCRF-CEM,80.995
Ifosfamide,Chlorambucil,1e-6,1e-6,CCRF-CEM,93.719
Amifostine,Ifosfamide,1e-6,1e-6,CCRF-CEM,92.16
Amifostine,Chlorambucil,1e-6,1e-6,CCRF-CEM,104.243
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,CCRF-CEM,86.03
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,CCRF-CEM,112.08
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,CCRF-CEM,112.231
Hydroxyurea,Chlorambucil,3e-5,1e-4,CCRF-CEM,-79.02
Hydroxyurea,Chlorambucil,3e-5,1e-5,CCRF-CEM,40.616
Hydroxyurea,Chlorambucil,3e-5,1e-6,CCRF-CEM,76.913
Ifosfamide,Chlorambucil,1e-4,1e-4,COLO 205,36.256
Amifostine,Ifosfamide,1e-4,1e-4,COLO 205,71.11
Amifostine,Chlorambucil,1e-4,1e-4,COLO 205,46.512
Hydroxyurea,Chlorambucil,1e-4,1e-4,COLO 205,34.885
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,COLO 205,98.45
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,COLO 205,86.22
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,COLO 205,45.885
Ifosfamide,Chlorambucil,1e-4,1e-5,COLO 205,116.124
Amifostine,Ifosfamide,1e-4,1e-5,COLO 205,102.75
Amifostine,Chlorambucil,1e-4,1e-5,COLO 205,84.132
Hydroxyurea,Chlorambucil,1e-4,1e-5,COLO 205,41.371
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,COLO 205,100.99
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,COLO 205,86.66
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,COLO 205,91.965
Ifosfamide,Chlorambucil,1e-4,1e-6,COLO 205,102.48
Amifostine,Ifosfamide,1e-4,1e-6,COLO 205,103.56
Amifostine,Chlorambucil,1e-4,1e-6,COLO 205,102.889
Hydroxyurea,Chlorambucil,1e-4,1e-6,COLO 205,50.155
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,COLO 205,101.85
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,COLO 205,94.74
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,COLO 205,96.667
Ifosfamide,Chlorambucil,1e-5,1e-4,COLO 205,37.575
Amifostine,Ifosfamide,1e-5,1e-4,COLO 205,98.11
Amifostine,Chlorambucil,1e-5,1e-4,COLO 205,45.656
Hydroxyurea,Chlorambucil,1e-5,1e-4,COLO 205,30.792
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,COLO 205,105.8
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,COLO 205,93.59
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,COLO 205,41.801
Ifosfamide,Chlorambucil,1e-5,1e-5,COLO 205,106.433
Amifostine,Ifosfamide,1e-5,1e-5,COLO 205,101.34
Amifostine,Chlorambucil,1e-5,1e-5,COLO 205,83.884
Hydroxyurea,Chlorambucil,1e-5,1e-5,COLO 205,85.033
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,COLO 205,100.72
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,COLO 205,92.69
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,COLO 205,89.876
Ifosfamide,Chlorambucil,1e-5,1e-6,COLO 205,111.538
Amifostine,Ifosfamide,1e-5,1e-6,COLO 205,100.7
Amifostine,Chlorambucil,1e-5,1e-6,COLO 205,106.089
Hydroxyurea,Chlorambucil,1e-5,1e-6,COLO 205,98.986
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,COLO 205,105.77
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,COLO 205,95.61
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,COLO 205,112.433
Ifosfamide,Chlorambucil,1e-6,1e-4,COLO 205,39.141
Amifostine,Ifosfamide,1e-6,1e-4,COLO 205,95.01
Amifostine,Chlorambucil,1e-6,1e-4,COLO 205,46.346
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,COLO 205,100.47
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,COLO 205,91.55
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,COLO 205,42.608
Ifosfamide,Chlorambucil,1e-6,1e-5,COLO 205,104.94
Amifostine,Ifosfamide,1e-6,1e-5,COLO 205,99.78
Amifostine,Chlorambucil,1e-6,1e-5,COLO 205,99.522
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,COLO 205,101.92
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,COLO 205,91.63
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,COLO 205,101.321
Ifosfamide,Chlorambucil,1e-6,1e-6,COLO 205,110.103
Amifostine,Ifosfamide,1e-6,1e-6,COLO 205,95.22
Amifostine,Chlorambucil,1e-6,1e-6,COLO 205,108.24
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,COLO 205,103.07
